scenario_id,seed_airport_icao,aircraft_lat,aircraft_lon,aircraft_type,aircraft_category,required_runway_m,emergency_type,max_range_km,fuel_state,fuel_multiplier,aircraft_adjusted_range_km,usable_range_km,extended_range_km,binding_side,airport_icao,runway_length_m,runway_width_m,surface_type,approach_type,has_ils,has_medical,medical_level,has_rescue,rescue_category,has_firefighting,has_maintenance,fuel_available,open_24h,is_international,tower_available,weather_reporting,closure_status,restricted_status,unsafe_status,civil_military,slot_restricted,distance_km,runway_margin_m,distance_zone,target_rank,is_top_choice
S00002,LCLK,34.650759,34.074,A320,narrow_body,2201,mechanical,602,low,0.9,855.0,602.0,922.283928,emergency,LTFM,4100,60,asphalt,ILS,1,1,advanced,1,major,1,1,1,1,1,1,0,open,none,safe,civil,0,872.40589,1899,extended,2.0,0
S00002,LCLK,34.650759,34.074,A320,narrow_body,2201,mechanical,602,low,0.9,855.0,602.0,922.283928,emergency,OJAI,3660,61,asphalt,ILS,1,1,advanced,1,major,1,1,1,1,1,1,1,open,none,safe,civil,0,371.339562,1459,preferred,3.0,0
S00002,LCLK,34.650759,34.074,A320,narrow_body,2201,mechanical,602,low,0.9,855.0,602.0,922.283928,emergency,LTAC,3750,45,asphalt,ILS,1,1,advanced,1,major,1,1,1,1,1,1,1,open,none,safe,joint,0,616.450736,1549,extended,4.0,0
S00002,LCLK,34.650759,34.074,A320,narrow_body,2201,mechanical,602,low,0.9,855.0,602.0,922.283928,emergency,LCLK,2987,45,asphalt,ILS,1,0,none,1,basic,1,0,1,1,1,1,1,open,none,safe,civil,0,48.013392,786,preferred,5.0,0
S00003,DTTA,36.522754,9.851398,B737-800,narrow_body,2337,fuel,461,low,0.9,855.0,461.0,782.837326,emergency,LIRF,3902,60,asphalt,ILS,1,1,basic,1,major,1,1,1,1,1,1,1,open,none,safe,civil,1,622.632536,1565,extended,1.0,1
S00003,DTTA,36.522754,9.851398,B737-800,narrow_body,2337,fuel,461,low,0.9,855.0,461.0,782.837326,emergency,DTTA,3200,45,asphalt,RNAV,0,1,basic,1,basic,1,0,1,1,1,1,1,open,none,safe,civil,0,49.54904,863,preferred,2.0,0
S00003,DTTA,36.522754,9.851398,B737-800,narrow_body,2337,fuel,461,low,0.9,855.0,461.0,782.837326,emergency,DAAG,3500,60,asphalt,RNAV,0,1,basic,1,basic,1,1,1,1,1,1,0,open,none,safe,civil,0,592.591251,1163,extended,3.0,0
S00004,LFPG,49.262755,3.19456,A220-300,narrow_body,2125,technical,696,low,0.9,855.0,696.0,1105.761976,emergency,LFPG,4215,45,asphalt,ILS,1,1,advanced,1,major,1,1,1,1,1,1,1,open,none,safe,civil,1,54.472819,2090,preferred,1.0,1
S00004,LFPG,49.262755,3.19456,A220-300,narrow_body,2125,technical,696,low,0.9,855.0,696.0,1105.761976,emergency,EDDF,4000,60,asphalt,ILS,1,1,advanced,1,major,1,1,1,0,1,1,1,open,none,safe,civil,1,395.338627,1875,preferred,2.0,0
S00004,LFPG,49.262755,3.19456,A220-300,narrow_body,2125,technical,696,low,0.9,855.0,696.0,1105.761976,emergency,EGLL,3901,50,asphalt,ILS,1,1,advanced,1,major,1,1,1,1,1,1,1,open,none,safe,civil,1,356.94195,1776,preferred,3.0,0
S00004,LFPG,49.262755,3.19456,A220-300,narrow_body,2125,technical,696,low,0.9,855.0,696.0,1105.761976,emergency,EHAM,3800,60,asphalt,ILS,1,1,advanced,1,major,1,1,1,1,1,1,1,open,none,safe,civil,1,356.175571,1675,preferred,4.0,0
S00004,LFPG,49.262755,3.19456,A220-300,narrow_body,2125,technical,696,low,0.9,855.0,696.0,1105.761976,emergency,LIRF,3902,60,asphalt,ILS,1,1,basic,1,major,1,1,1,1,1,1,1,open,none,safe,civil,1,1087.227522,1777,extended,5.0,0
S00004,LFPG,49.262755,3.19456,A220-300,narrow_body,2125,technical,696,low,0.9,855.0,696.0,1105.761976,emergency,EGKK,3317,45,asphalt,ILS,1,1,advanced,1,major,1,1,1,1,1,1,1,open,none,safe,civil,1,319.085695,1192,preferred,6.0,0
S00004,LFPG,49.262755,3.19456,A220-300,narrow_body,2125,technical,696,low,0.9,855.0,696.0,1105.761976,emergency,EGCC,3048,46,asphalt,ILS,1,1,advanced,1,major,1,1,1,1,1,1,1,open,none,safe,civil,1,592.50543,923,preferred,7.0,0
S00004,LFPG,49.262755,3.19456,A220-300,narrow_body,2125,technical,696,low,0.9,855.0,696.0,1105.761976,emergency,EIDW,3110,45,concrete,ILS,1,1,advanced,1,major,1,1,1,1,1,1,1,open,none,safe,civil,0,802.686106,985,extended,8.0,0
S00005,LEMD,40.195426,-4.457602,B737-800,narrow_body,2281,medical,993,normal,1.0,950.0,950.0,1686.303214,aircraft_fuel,LEMD,4350,60,asphalt,ILS,1,1,advanced,1,major,1,1,1,1,1,1,1,open,none,safe,civil,1,82.022563,2069,preferred,1.0,1
S00005,LEMD,40.195426,-4.457602,B737-800,narrow_body,2281,medical,993,normal,1.0,950.0,950.0,1686.303214,aircraft_fuel,LFPG,4215,45,asphalt,ILS,1,1,advanced,1,major,1,1,1,1,1,1,1,open,none,safe,civil,1,1125.178676,1934,extended,2.0,0
S00005,LEMD,40.195426,-4.457602,B737-800,narrow_body,2281,medical,993,normal,1.0,950.0,950.0,1686.303214,aircraft_fuel,GMMN,3720,45,asphalt,ILS,1,1,advanced,1,major,1,1,1,1,1,1,1,open,none,safe,civil,0,808.702096,1439,preferred,3.0,0
S00005,LEMD,40.195426,-4.457602,B737-800,narrow_body,2281,medical,993,normal,1.0,950.0,950.0,1686.303214,aircraft_fuel,LPPT,3707,45,asphalt,ILS,1,1,advanced,1,major,1,1,1,1,1,1,1,open,none,safe,civil,0,431.095025,1426,preferred,4.0,0
S00005,LEMD,40.195426,-4.457602,B737-800,narrow_body,2281,medical,993,normal,1.0,950.0,950.0,1686.303214,aircraft_fuel,EDDF,4000,60,asphalt,ILS,1,1,advanced,1,major,1,1,1,0,1,1,1,open,none,safe,civil,1,1491.904907,1719,extended,5.0,0
S00005,LEMD,40.195426,-4.457602,B737-800,narrow_body,2281,medical,993,normal,1.0,950.0,950.0,1686.303214,aircraft_fuel,LIRF,3902,60,asphalt,ILS,1,1,basic,1,major,1,1,1,1,1,1,1,open,none,safe,civil,1,1411.356393,1621,extended,6.0,0
S00005,LEMD,40.195426,-4.457602,B737-800,narrow_body,2281,medical,993,normal,1.0,950.0,950.0,1686.303214,aircraft_fuel,EGLL,3901,50,asphalt,ILS,1,1,advanced,1,major,1,1,1,1,1,1,1,open,none,safe,civil,1,1290.938041,1620,extended,7.0,0
S00005,LEMD,40.195426,-4.457602,B737-800,narrow_body,2281,medical,993,normal,1.0,950.0,950.0,1686.303214,aircraft_fuel,DAAG,3500,60,asphalt,RNAV,0,1,basic,1,basic,1,1,1,1,1,1,0,open,none,safe,civil,0,772.897572,1219,preferred,8.0,0
S00005,LEMD,40.195426,-4.457602,B737-800,narrow_body,2281,medical,993,normal,1.0,950.0,950.0,1686.303214,aircraft_fuel,EHAM,3800,60,asphalt,ILS,1,1,advanced,1,major,1,1,1,1,1,1,1,open,none,safe,civil,1,1519.325012,1519,extended,9.0,0
S00005,LEMD,40.195426,-4.457602,B737-800,narrow_body,2281,medical,993,normal,1.0,950.0,950.0,1686.303214,aircraft_fuel,EGKK,3317,45,asphalt,ILS,1,1,advanced,1,major,1,1,1,1,1,1,1,open,none,safe,civil,1,1261.808646,1036,extended,10.0,0
S00005,LEMD,40.195426,-4.457602,B737-800,narrow_body,2281,medical,993,normal,1.0,950.0,950.0,1686.303214,aircraft_fuel,DTTA,3200,45,asphalt,RNAV,0,1,basic,1,basic,1,0,1,1,1,1,1,open,none,safe,civil,0,1328.704397,919,extended,11.0,0
S00005,LEMD,40.195426,-4.457602,B737-800,narrow_body,2281,medical,993,normal,1.0,950.0,950.0,1686.303214,aircraft_fuel,EIDW,3110,45,concrete,ILS,1,1,advanced,1,major,1,1,1,1,1,1,1,open,none,safe,civil,0,1477.742802,829,extended,12.0,0
S00005,LEMD,40.195426,-4.457602,B737-800,narrow_body,2281,medical,993,normal,1.0,950.0,950.0,1686.303214,aircraft_fuel,EGCC,3048,46,asphalt,ILS,1,1,advanced,1,major,1,1,1,1,1,1,1,open,none,safe,civil,1,1472.366882,767,extended,13.0,0
S00006,ZBAA,40.2389,117.500532,A350-900,wide_body,2866,fuel,766,low,0.9,1350.0,766.0,1399.345386,emergency,ZBAA,3810,60,asphalt,ILS,1,1,advanced,1,major,1,1,1,1,1,1,1,open,none,safe,civil,1,78.882122,944,preferred,1.0,1
S00006,ZBAA,40.2389,117.500532,A350-900,wide_body,2866,fuel,766,low,0.9,1350.0,766.0,1399.345386,emergency,RKSI,4000,60,asphalt,ILS,1,1,advanced,1,major,1,1,1,1,1,1,1,open,none,safe,civil,1,833.501675,1134,extended,2.0,0
S00006,ZBAA,40.2389,117.500532,A350-900,wide_body,2866,fuel,766,low,0.9,1350.0,766.0,1399.345386,emergency,ZSPD,4000,60,concrete,ILS,1,1,advanced,1,major,1,1,1,1,1,1,1,open,none,safe,civil,1,1083.123698,1134,extended,3.0,0
S00007,OPKC,25.284895,67.153765,E175,regional_jet,1803,medical,901,normal,1.0,750.0,750.0,1126.999762,aircraft_fuel,VIDP,4430,60,asphalt,ILS,1,1,advanced,1,major,1,1,1,1,1,1,1,open,none,safe,civil,1,1050.144368,2627,extended,1.0,1
S00007,OPKC,25.284895,67.153765,E175,regional_jet,1803,medical,901,normal,1.0,750.0,750.0,1126.999762,aircraft_fuel,OOMS,4080,45,asphalt,ILS,1,1,advanced,1,major,1,1,1,1,1,1,1,open,none,safe,civil,0,916.885484,2277,extended,2.0,0
S00007,OPKC,25.284895,67.153765,E175,regional_jet,1803,medical,901,normal,1.0,750.0,750.0,1126.999762,aircraft_fuel,VABB,3509,60,asphalt,ILS,1,1,advanced,1,major,1,1,1,1,1,1,1,open,none,safe,civil,1,905.701321,1706,extended,3.0,0
S00007,OPKC,25.284895,67.153765,E175,regional_jet,1803,medical,901,normal,1.0,750.0,750.0,1126.999762,aircraft_fuel,OPKC,3400,46,concrete,RNAV,0,1,basic,1,basic,1,1,1,1,1,1,1,open,none,caution,civil,0,42.081562,1597,preferred,4.0,0
S00008,EGLL,51.464831,0.236459,B777-300ER,wide_body,3354,medical,839,critical,0.75,1125.0,839.0,1470.220314,emergency,LFPG,4215,45,asphalt,ILS,1,1,advanced,1,major,1,1,1,1,1,1,1,open,none,safe,civil,1,318.934994,861,preferred,1.0,1
S00008,EGLL,51.464831,0.236459,B777-300ER,wide_body,3354,medical,839,critical,0.75,1125.0,839.0,1470.220314,emergency,EDDF,4000,60,asphalt,ILS,1,1,advanced,1,major,1,1,1,0,1,1,1,open,none,safe,civil,1,606.592692,646,preferred,2.0,0
S00008,EGLL,51.464831,0.236459,B777-300ER,wide_body,3354,medical,839,critical,0.75,1125.0,839.0,1470.220314,emergency,LEMD,4350,60,asphalt,ILS,1,1,advanced,1,major,1,1,1,1,1,1,1,open,none,safe,civil,1,1254.511917,996,extended,3.0,0
S00008,EGLL,51.464831,0.236459,B777-300ER,wide_body,3354,medical,839,critical,0.75,1125.0,839.0,1470.220314,emergency,EGLL,3901,50,asphalt,ILS,1,1,advanced,1,major,1,1,1,1,1,1,1,open,none,safe,civil,1,48.241285,547,preferred,4.0,0
S00008,EGLL,51.464831,0.236459,B777-300ER,wide_body,3354,medical,839,critical,0.75,1125.0,839.0,1470.220314,emergency,EHAM,3800,60,asphalt,ILS,1,1,advanced,1,major,1,1,1,1,1,1,1,open,none,safe,civil,1,324.516808,446,preferred,5.0,0
S00008,EGLL,51.464831,0.236459,B777-300ER,wide_body,3354,medical,839,critical,0.75,1125.0,839.0,1470.220314,emergency,LIRF,3902,60,asphalt,ILS,1,1,basic,1,major,1,1,1,1,1,1,1,open,none,safe,civil,1,1408.952584,548,extended,6.0,0
S00008,EGLL,51.464831,0.236459,B777-300ER,wide_body,3354,medical,839,critical,0.75,1125.0,839.0,1470.220314,emergency,ENGM,3600,45,asphalt,ILS,1,1,advanced,1,major,1,1,1,1,1,1,1,open,none,safe,civil,0,1181.032273,246,extended,7.0,0
S00009,KLAX,33.865236,-118.925835,B737-800,narrow_body,2396,security,937,normal,1.0,950.0,937.0,1535.090808,emergency,KLAX,3939,46,concrete,ILS,1,1,advanced,1,major,1,1,1,1,1,1,1,open,none,safe,civil,0,48.556793,1543,preferred,1.0,1
S00010,FAOR,-25.754324,28.117997,A321,narrow_body,2376,fuel,797,normal,1.0,1000.0,797.0,1334.088083,emergency,FAOR,4418,61,asphalt,ILS,1,1,advanced,1,major,1,1,1,1,1,1,1,open,none,safe,civil,0,44.785847,2042,preferred,1.0,1
S00010,FAOR,-25.754324,28.117997,A321,narrow_body,2376,fuel,797,normal,1.0,1000.0,797.0,1334.088083,emergency,FACT,3201,61,asphalt,RNAV,0,1,basic,1,basic,1,0,1,1,1,1,1,open,none,safe,civil,0,1293.690114,825,extended,2.0,0
S00011,DAAG,36.645517,2.698656,A320,narrow_body,2412,fuel,606,normal,1.0,950.0,606.0,1003.058521,emergency,LEMD,4350,60,asphalt,ILS,1,1,advanced,1,major,1,1,1,1,1,1,1,open,none,safe,civil,1,692.712449,1938,extended,1.0,1
S00011,DAAG,36.645517,2.698656,A320,narrow_body,2412,fuel,606,normal,1.0,950.0,606.0,1003.058521,emergency,DAAG,3500,60,asphalt,RNAV,0,1,basic,1,basic,1,1,1,1,1,1,0,open,none,safe,civil,0,46.323354,1088,preferred,2.0,0
S00011,DAAG,36.645517,2.698656,A320,narrow_body,2412,fuel,606,normal,1.0,950.0,606.0,1003.058521,emergency,LIRF,3902,60,asphalt,ILS,1,1,basic,1,major,1,1,1,1,1,1,1,open,none,safe,civil,1,1002.13424,1490,extended,3.0,0
S00011,DAAG,36.645517,2.698656,A320,narrow_body,2412,fuel,606,normal,1.0,950.0,606.0,1003.058521,emergency,DTTA,3200,45,asphalt,RNAV,0,1,basic,1,basic,1,0,1,1,1,1,1,open,none,safe,civil,0,670.988815,788,extended,4.0,0
S00012,EGCC,53.376352,-5.049405,A330-300,wide_body,2884,technical,726,low,0.9,1170.0,726.0,1273.433075,emergency,LFPG,4215,45,asphalt,ILS,1,1,advanced,1,major,1,1,1,1,1,1,1,open,none,safe,civil,1,718.03503,1331,preferred,1.0,1
S00012,EGCC,53.376352,-5.049405,A330-300,wide_body,2884,technical,726,low,0.9,1170.0,726.0,1273.433075,emergency,EGLL,3901,50,asphalt,ILS,1,1,advanced,1,major,1,1,1,1,1,1,1,open,none,safe,civil,1,376.381193,1017,preferred,2.0,0
S00012,EGCC,53.376352,-5.049405,A330-300,wide_body,2884,technical,726,low,0.9,1170.0,726.0,1273.433075,emergency,EHAM,3800,60,asphalt,ILS,1,1,advanced,1,major,1,1,1,1,1,1,1,open,none,safe,civil,1,669.133264,916,preferred,3.0,0
S00012,EGCC,53.376352,-5.049405,A330-300,wide_body,2884,technical,726,low,0.9,1170.0,726.0,1273.433075,emergency,EDDF,4000,60,asphalt,ILS,1,1,advanced,1,major,1,1,1,0,1,1,1,open,none,safe,civil,1,1007.039556,1116,extended,4.0,0
S00012,EGCC,53.376352,-5.049405,A330-300,wide_body,2884,technical,726,low,0.9,1170.0,726.0,1273.433075,emergency,EGKK,3317,45,asphalt,ILS,1,1,advanced,1,major,1,1,1,1,1,1,1,open,none,safe,civil,1,413.271479,433,preferred,5.0,0
S00012,EGCC,53.376352,-5.049405,A330-300,wide_body,2884,technical,726,low,0.9,1170.0,726.0,1273.433075,emergency,ENGM,3600,45,asphalt,ILS,1,1,advanced,1,major,1,1,1,1,1,1,1,open,none,safe,civil,0,1236.4173,716,extended,6.0,0
S00012,EGCC,53.376352,-5.049405,A330-300,wide_body,2884,technical,726,low,0.9,1170.0,726.0,1273.433075,emergency,EIDW,3110,45,concrete,ILS,1,1,advanced,1,major,1,1,1,1,1,1,1,open,none,safe,civil,0,80.604436,226,preferred,7.0,0
S00012,EGCC,53.376352,-5.049405,A330-300,wide_body,2884,technical,726,low,0.9,1170.0,726.0,1273.433075,emergency,EGCC,3048,46,asphalt,ILS,1,1,advanced,1,major,1,1,1,1,1,1,1,open,none,safe,civil,1,184.094975,164,preferred,8.0,0
S00013,HAAB,9.013982,39.091184,B747-8,very_large,3582,weather,1108,normal,1.0,1550.0,1108.0,1952.3962,emergency,OERK,4205,60,asphalt,ILS,1,1,advanced,1,major,1,1,1,1,1,1,1,open,none,safe,civil,0,1947.309892,623,extended,1.0,1
S00013,HAAB,9.013982,39.091184,B747-8,very_large,3582,weather,1108,normal,1.0,1550.0,1108.0,1952.3962,emergency,HKJK,4117,45,asphalt,RNAV,0,1,basic,1,basic,1,0,1,1,1,1,1,open,none,safe,civil,0,1173.686807,535,extended,2.0,0
S00014,EGKK,51.631527,-0.519659,CRJ900,regional_jet,1718,operational_constraints,1021,normal,1.0,700.0,700.0,1059.946033,aircraft_fuel,LFPG,4215,45,asphalt,ILS,1,1,advanced,1,major,1,1,1,1,1,1,1,open,none,safe,civil,1,364.160916,2497,preferred,1.0,1
S00014,EGKK,51.631527,-0.519659,CRJ900,regional_jet,1718,operational_constraints,1021,normal,1.0,700.0,700.0,1059.946033,aircraft_fuel,EDDF,4000,60,asphalt,ILS,1,1,advanced,1,major,1,1,1,0,1,1,1,open,none,safe,civil,1,661.594817,2282,preferred,2.0,0
S00014,EGKK,51.631527,-0.519659,CRJ900,regional_jet,1718,operational_constraints,1021,normal,1.0,700.0,700.0,1059.946033,aircraft_fuel,EGLL,3901,50,asphalt,ILS,1,1,advanced,1,major,1,1,1,1,1,1,1,open,none,safe,civil,1,18.348937,2183,preferred,3.0,0
S00014,EGKK,51.631527,-0.519659,CRJ900,regional_jet,1718,operational_constraints,1021,normal,1.0,700.0,700.0,1059.946033,aircraft_fuel,EHAM,3800,60,asphalt,ILS,1,1,advanced,1,major,1,1,1,1,1,1,1,open,none,safe,civil,1,369.602448,2082,preferred,4.0,0
S00014,EGKK,51.631527,-0.519659,CRJ900,regional_jet,1718,operational_constraints,1021,normal,1.0,700.0,700.0,1059.946033,aircraft_fuel,EGKK,3317,45,asphalt,ILS,1,1,advanced,1,major,1,1,1,1,1,1,1,open,none,safe,civil,1,58.469532,1599,preferred,5.0,0
S00014,EGKK,51.631527,-0.519659,CRJ900,regional_jet,1718,operational_constraints,1021,normal,1.0,700.0,700.0,1059.946033,aircraft_fuel,EIDW,3110,45,concrete,ILS,1,1,advanced,1,major,1,1,1,1,1,1,1,open,none,safe,civil,0,436.659715,1392,preferred,6.0,0
S00014,EGKK,51.631527,-0.519659,CRJ900,regional_jet,1718,operational_constraints,1021,normal,1.0,700.0,700.0,1059.946033,aircraft_fuel,EGCC,3048,46,asphalt,ILS,1,1,advanced,1,major,1,1,1,1,1,1,1,open,none,safe,civil,1,225.362359,1330,preferred,7.0,0
S00015,RCTP,24.83794,120.729188,A330-300,wide_body,2910,technical,600,critical,0.75,975.0,600.0,1111.395797,emergency,RCTP,3660,60,concrete,ILS,1,1,advanced,1,major,1,1,1,1,1,1,1,open,none,safe,civil,0,57.361966,750,preferred,1.0,1
S00015,RCTP,24.83794,120.729188,A330-300,wide_body,2910,technical,600,critical,0.75,975.0,600.0,1111.395797,emergency,ZSPD,4000,60,concrete,ILS,1,1,advanced,1,major,1,1,1,1,1,1,1,open,none,safe,civil,1,709.032906,1090,extended,2.0,0
S00016,HAAB,9.13322,38.640923,B737 MAX 8,narrow_body,2349,fuel,517,critical,0.75,750.0,517.0,790.122381,emergency,HAAB,3800,45,asphalt,ILS,1,0,none,1,basic,1,0,1,1,1,1,1,open,restricted,caution,joint,0,24.510753,1451,preferred,1.0,1
S00018,ESSA,59.829893,16.115474,E170,regional_jet,1800,mechanical,905,normal,1.0,700.0,700.0,1072.661984,aircraft_fuel,ENGM,3600,45,asphalt,ILS,1,1,advanced,1,major,1,1,1,1,1,1,1,open,none,safe,civil,0,281.577976,1800,preferred,1.0,1
S00018,ESSA,59.829893,16.115474,E170,regional_jet,1800,mechanical,905,normal,1.0,700.0,700.0,1072.661984,aircraft_fuel,EFHK,3440,60,asphalt,ILS,1,1,advanced,1,major,1,1,1,1,1,1,1,open,none,safe,civil,0,493.433361,1640,preferred,2.0,0
S00018,ESSA,59.829893,16.115474,E170,regional_jet,1800,mechanical,905,normal,1.0,700.0,700.0,1072.661984,aircraft_fuel,ESSA,3301,45,asphalt,ILS,1,1,advanced,1,major,1,1,1,1,1,1,1,open,none,safe,civil,0,103.591003,1501,preferred,3.0,0
S00018,ESSA,59.829893,16.115474,E170,regional_jet,1800,mechanical,905,normal,1.0,700.0,700.0,1072.661984,aircraft_fuel,ULLI,3780,60,concrete,ILS,1,1,advanced,1,major,1,1,1,1,1,1,1,open,none,caution,civil,0,789.435239,1980,extended,4.0,0
S00019,HKJK,-1.186234,36.752034,A320,narrow_body,2458,operational_constraints,547,normal,1.0,950.0,547.0,845.664992,emergency,HKJK,4117,45,asphalt,RNAV,0,1,basic,1,basic,1,0,1,1,1,1,1,open,none,safe,civil,0,24.520383,1659,preferred,1.0,1
S00020,EDDF,51.069717,8.981945,B767-300ER,wide_body,3072,fuel,572,low,0.9,1125.0,572.0,873.093986,emergency,LFPG,4215,45,asphalt,ILS,1,1,advanced,1,major,1,1,1,1,1,1,1,open,none,safe,civil,1,512.821711,1143,preferred,1.0,1
S00020,EDDF,51.069717,8.981945,B767-300ER,wide_body,3072,fuel,572,low,0.9,1125.0,572.0,873.093986,emergency,EDDF,4000,60,asphalt,ILS,1,1,advanced,1,major,1,1,1,0,1,1,1,open,none,safe,civil,1,119.776622,928,preferred,2.0,0
S00020,EDDF,51.069717,8.981945,B767-300ER,wide_body,3072,fuel,572,low,0.9,1125.0,572.0,873.093986,emergency,EHAM,3800,60,asphalt,ILS,1,1,advanced,1,major,1,1,1,1,1,1,1,open,none,safe,civil,1,321.6788,728,preferred,3.0,0
S00020,EDDF,51.069717,8.981945,B767-300ER,wide_body,3072,fuel,572,low,0.9,1125.0,572.0,873.093986,emergency,EGLL,3901,50,asphalt,ILS,1,1,advanced,1,major,1,1,1,1,1,1,1,open,none,safe,civil,1,657.911947,829,extended,4.0,0
S00020,EDDF,51.069717,8.981945,B767-300ER,wide_body,3072,fuel,572,low,0.9,1125.0,572.0,873.093986,emergency,EGKK,3317,45,asphalt,ILS,1,1,advanced,1,major,1,1,1,1,1,1,1,open,none,safe,civil,1,639.663815,245,extended,5.0,0
S00021,HELX,25.872722,32.599388,A321,narrow_body,2420,operational_constraints,971,low,0.9,900.0,900.0,1615.606745,aircraft_fuel,OKKK,4580,60,asphalt,ILS,1,1,advanced,1,major,1,1,1,1,1,1,1,open,none,safe,civil,0,1559.161195,2160,extended,1.0,1
S00021,HELX,25.872722,32.599388,A321,narrow_body,2420,operational_constraints,971,low,0.9,900.0,900.0,1615.606745,aircraft_fuel,HECA,4000,60,asphalt,ILS,1,1,basic,1,major,1,1,1,1,1,1,1,open,none,safe,civil,0,485.889987,1580,preferred,2.0,0
S00021,HELX,25.872722,32.599388,A321,narrow_body,2420,operational_constraints,971,low,0.9,900.0,900.0,1615.606745,aircraft_fuel,OERK,4205,60,asphalt,ILS,1,1,advanced,1,major,1,1,1,1,1,1,1,open,none,safe,civil,0,1419.022287,1785,extended,3.0,0
S00021,HELX,25.872722,32.599388,A321,narrow_body,2420,operational_constraints,971,low,0.9,900.0,900.0,1615.606745,aircraft_fuel,OJAI,3660,61,asphalt,ILS,1,1,advanced,1,major,1,1,1,1,1,1,1,open,none,safe,civil,0,729.586247,1240,preferred,4.0,0
S00021,HELX,25.872722,32.599388,A321,narrow_body,2420,operational_constraints,971,low,0.9,900.0,900.0,1615.606745,aircraft_fuel,LGAV,4000,45,asphalt,ILS,1,1,advanced,1,major,1,1,1,1,1,1,1,open,none,safe,civil,0,1568.815473,1580,extended,5.0,0
S00021,HELX,25.872722,32.599388,A321,narrow_body,2420,operational_constraints,971,low,0.9,900.0,900.0,1615.606745,aircraft_fuel,LTAC,3750,45,asphalt,ILS,1,1,advanced,1,major,1,1,1,1,1,1,1,open,none,safe,joint,0,1585.550274,1330,extended,6.0,0
