scenario_id,seed_airport_icao,aircraft_lat,aircraft_lon,aircraft_type,aircraft_category,required_runway_m,emergency_type,max_range_km,fuel_state,fuel_multiplier,aircraft_adjusted_range_km,usable_range_km,extended_range_km,binding_side,airport_icao,runway_length_m,runway_width_m,surface_type,approach_type,has_ils,has_medical,medical_level,has_rescue,rescue_category,has_firefighting,has_maintenance,fuel_available,open_24h,is_international,tower_available,weather_reporting,closure_status,restricted_status,unsafe_status,civil_military,slot_restricted,distance_km,runway_margin_m,distance_zone,target_rank,is_top_choice,distance_rank,range_coverage_ratio,runway_rank
S00002,LCLK,34.650759,34.074,A320,narrow_body,2201,mechanical,602,low,0.9,855.0,602.0,922.283928,emergency,HECA,4000,60,asphalt,ILS,1,1,basic,1,major,1,1,1,1,1,1,1,open,none,safe,civil,0,563.819667,1799,preferred,3.0,0,3,1.0677,2
S00002,LCLK,34.650759,34.074,A320,narrow_body,2201,mechanical,602,low,0.9,855.0,602.0,922.283928,emergency,LTFM,4100,60,asphalt,ILS,1,1,advanced,1,major,1,1,1,1,1,1,0,open,none,safe,civil,0,872.40589,1899,extended,4.0,0,5,0.69,1
S00002,LCLK,34.650759,34.074,A320,narrow_body,2201,mechanical,602,low,0.9,855.0,602.0,922.283928,emergency,LTAC,3750,45,asphalt,ILS,1,1,advanced,1,major,1,1,1,1,1,1,1,open,none,safe,joint,0,616.450736,1549,extended,5.0,0,4,0.9766,3
S00005,LEMD,40.195426,-4.457602,B737-800,narrow_body,2281,medical,993,normal,1.0,950.0,950.0,1686.303214,aircraft_fuel,LEMD,4350,60,asphalt,ILS,1,1,advanced,1,major,1,1,1,1,1,1,1,open,none,safe,civil,1,82.022563,2069,preferred,1.0,1,1,11.5822,1
S00005,LEMD,40.195426,-4.457602,B737-800,narrow_body,2281,medical,993,normal,1.0,950.0,950.0,1686.303214,aircraft_fuel,LPPT,3707,45,asphalt,ILS,1,1,advanced,1,major,1,1,1,1,1,1,1,open,none,safe,civil,0,431.095025,1426,preferred,2.0,0,2,2.2037,8
S00005,LEMD,40.195426,-4.457602,B737-800,narrow_body,2281,medical,993,normal,1.0,950.0,950.0,1686.303214,aircraft_fuel,GMMN,3720,45,asphalt,ILS,1,1,advanced,1,major,1,1,1,1,1,1,1,open,none,safe,civil,0,808.702096,1439,preferred,3.0,0,4,1.1747,7
S00005,LEMD,40.195426,-4.457602,B737-800,narrow_body,2281,medical,993,normal,1.0,950.0,950.0,1686.303214,aircraft_fuel,DAAG,3500,60,asphalt,RNAV,0,1,basic,1,basic,1,1,1,1,1,1,0,open,none,safe,civil,0,772.897572,1219,preferred,4.0,0,3,1.2291,9
S00005,LEMD,40.195426,-4.457602,B737-800,narrow_body,2281,medical,993,normal,1.0,950.0,950.0,1686.303214,aircraft_fuel,LFPG,4215,45,asphalt,ILS,1,1,advanced,1,major,1,1,1,1,1,1,1,open,none,safe,civil,1,1125.178676,1934,extended,5.0,0,5,0.8443,2
S00005,LEMD,40.195426,-4.457602,B737-800,narrow_body,2281,medical,993,normal,1.0,950.0,950.0,1686.303214,aircraft_fuel,EGLL,3901,50,asphalt,ILS,1,1,advanced,1,major,1,1,1,1,1,1,1,open,none,safe,civil,1,1290.938041,1620,extended,6.0,0,7,0.7359,5
S00005,LEMD,40.195426,-4.457602,B737-800,narrow_body,2281,medical,993,normal,1.0,950.0,950.0,1686.303214,aircraft_fuel,LIRF,3902,60,asphalt,ILS,1,1,basic,1,major,1,1,1,1,1,1,1,open,none,safe,civil,1,1411.356393,1621,extended,7.0,0,9,0.6731,4
S00005,LEMD,40.195426,-4.457602,B737-800,narrow_body,2281,medical,993,normal,1.0,950.0,950.0,1686.303214,aircraft_fuel,EDDF,4000,60,asphalt,ILS,1,1,advanced,1,major,1,1,1,0,1,1,1,open,none,safe,civil,1,1491.904907,1719,extended,8.0,0,12,0.6368,3
S00005,LEMD,40.195426,-4.457602,B737-800,narrow_body,2281,medical,993,normal,1.0,950.0,950.0,1686.303214,aircraft_fuel,EHAM,3800,60,asphalt,ILS,1,1,advanced,1,major,1,1,1,1,1,1,1,open,none,safe,civil,1,1519.325012,1519,extended,9.0,0,13,0.6253,6
S00005,LEMD,40.195426,-4.457602,B737-800,narrow_body,2281,medical,993,normal,1.0,950.0,950.0,1686.303214,aircraft_fuel,EGKK,3317,45,asphalt,ILS,1,1,advanced,1,major,1,1,1,1,1,1,1,open,none,safe,civil,1,1261.808646,1036,extended,10.0,0,6,0.7529,10
S00005,LEMD,40.195426,-4.457602,B737-800,narrow_body,2281,medical,993,normal,1.0,950.0,950.0,1686.303214,aircraft_fuel,DTTA,3200,45,asphalt,RNAV,0,1,basic,1,basic,1,0,1,1,1,1,1,open,none,safe,civil,0,1328.704397,919,extended,11.0,0,8,0.715,11
S00005,LEMD,40.195426,-4.457602,B737-800,narrow_body,2281,medical,993,normal,1.0,950.0,950.0,1686.303214,aircraft_fuel,EIDW,3110,45,concrete,ILS,1,1,advanced,1,major,1,1,1,1,1,1,1,open,none,safe,civil,0,1477.742802,829,extended,12.0,0,11,0.6429,12
S00005,LEMD,40.195426,-4.457602,B737-800,narrow_body,2281,medical,993,normal,1.0,950.0,950.0,1686.303214,aircraft_fuel,EGCC,3048,46,asphalt,ILS,1,1,advanced,1,major,1,1,1,1,1,1,1,open,none,safe,civil,1,1472.366882,767,extended,13.0,0,10,0.6452,13
S00007,OPKC,25.284895,67.153765,E175,regional_jet,1803,medical,901,normal,1.0,750.0,750.0,1126.999762,aircraft_fuel,OPKC,3400,46,concrete,RNAV,0,1,basic,1,basic,1,1,1,1,1,1,1,open,none,caution,civil,0,42.081562,1597,preferred,1.0,1,1,17.8225,4
S00007,OPKC,25.284895,67.153765,E175,regional_jet,1803,medical,901,normal,1.0,750.0,750.0,1126.999762,aircraft_fuel,VABB,3509,60,asphalt,ILS,1,1,advanced,1,major,1,1,1,1,1,1,1,open,none,safe,civil,1,905.701321,1706,extended,2.0,0,2,0.8281,3
S00007,OPKC,25.284895,67.153765,E175,regional_jet,1803,medical,901,normal,1.0,750.0,750.0,1126.999762,aircraft_fuel,OOMS,4080,45,asphalt,ILS,1,1,advanced,1,major,1,1,1,1,1,1,1,open,none,safe,civil,0,916.885484,2277,extended,3.0,0,3,0.818,2
S00007,OPKC,25.284895,67.153765,E175,regional_jet,1803,medical,901,normal,1.0,750.0,750.0,1126.999762,aircraft_fuel,VIDP,4430,60,asphalt,ILS,1,1,advanced,1,major,1,1,1,1,1,1,1,open,none,safe,civil,1,1050.144368,2627,extended,4.0,0,4,0.7142,1
S00011,DAAG,36.645517,2.698656,A320,narrow_body,2412,mechanical,738,normal,1.0,950.0,738.0,1221.546516,emergency,DAAG,3500,60,asphalt,RNAV,0,1,basic,1,basic,1,1,1,1,1,1,0,open,none,safe,civil,0,46.323354,1088,preferred,1.0,1,1,15.9315,5
S00011,DAAG,36.645517,2.698656,A320,narrow_body,2412,mechanical,738,normal,1.0,950.0,738.0,1221.546516,emergency,LEMD,4350,60,asphalt,ILS,1,1,advanced,1,major,1,1,1,1,1,1,1,open,none,safe,civil,1,692.712449,1938,preferred,2.0,0,3,1.0654,1
S00011,DAAG,36.645517,2.698656,A320,narrow_body,2412,mechanical,738,normal,1.0,950.0,738.0,1221.546516,emergency,DTTA,3200,45,asphalt,RNAV,0,1,basic,1,basic,1,0,1,1,1,1,1,open,none,safe,civil,0,670.988815,788,preferred,3.0,0,2,1.0999,6
S00011,DAAG,36.645517,2.698656,A320,narrow_body,2412,mechanical,738,normal,1.0,950.0,738.0,1221.546516,emergency,LIRF,3902,60,asphalt,ILS,1,1,basic,1,major,1,1,1,1,1,1,1,open,none,safe,civil,1,1002.13424,1490,extended,4.0,0,4,0.7364,2
S00011,DAAG,36.645517,2.698656,A320,narrow_body,2412,mechanical,738,normal,1.0,950.0,738.0,1221.546516,emergency,GMMN,3720,45,asphalt,ILS,1,1,advanced,1,major,1,1,1,1,1,1,1,open,none,safe,civil,0,1004.783831,1308,extended,5.0,0,5,0.7345,3
S00011,DAAG,36.645517,2.698656,A320,narrow_body,2412,mechanical,738,normal,1.0,950.0,738.0,1221.546516,emergency,LPPT,3707,45,asphalt,ILS,1,1,advanced,1,major,1,1,1,1,1,1,1,open,none,safe,civil,0,1066.922631,1295,extended,6.0,0,6,0.6917,4
S00018,ESSA,59.829893,16.115474,E170,regional_jet,1800,mechanical,905,normal,1.0,700.0,700.0,1072.661984,aircraft_fuel,ESSA,3301,45,asphalt,ILS,1,1,advanced,1,major,1,1,1,1,1,1,1,open,none,safe,civil,0,103.591003,1501,preferred,1.0,1,1,6.7573,4
S00018,ESSA,59.829893,16.115474,E170,regional_jet,1800,mechanical,905,normal,1.0,700.0,700.0,1072.661984,aircraft_fuel,ENGM,3600,45,asphalt,ILS,1,1,advanced,1,major,1,1,1,1,1,1,1,open,none,safe,civil,0,281.577976,1800,preferred,2.0,0,2,2.486,2
S00018,ESSA,59.829893,16.115474,E170,regional_jet,1800,mechanical,905,normal,1.0,700.0,700.0,1072.661984,aircraft_fuel,EFHK,3440,60,asphalt,ILS,1,1,advanced,1,major,1,1,1,1,1,1,1,open,none,safe,civil,0,493.433361,1640,preferred,3.0,0,3,1.4186,3
S00018,ESSA,59.829893,16.115474,E170,regional_jet,1800,mechanical,905,normal,1.0,700.0,700.0,1072.661984,aircraft_fuel,ULLI,3780,60,concrete,ILS,1,1,advanced,1,major,1,1,1,1,1,1,1,open,none,caution,civil,0,789.435239,1980,extended,4.0,0,4,0.8867,1
S00020,EDDF,51.069717,8.981945,B767-300ER,wide_body,3072,mechanical,705,low,0.9,1125.0,705.0,1076.103602,emergency,EDDF,4000,60,asphalt,ILS,1,1,advanced,1,major,1,1,1,0,1,1,1,open,none,safe,civil,1,119.776622,928,preferred,1.0,1,1,5.886,2
S00020,EDDF,51.069717,8.981945,B767-300ER,wide_body,3072,mechanical,705,low,0.9,1125.0,705.0,1076.103602,emergency,LFPG,4215,45,asphalt,ILS,1,1,advanced,1,major,1,1,1,1,1,1,1,open,none,safe,civil,1,512.821711,1143,preferred,2.0,0,3,1.3747,1
S00020,EDDF,51.069717,8.981945,B767-300ER,wide_body,3072,mechanical,705,low,0.9,1125.0,705.0,1076.103602,emergency,EHAM,3800,60,asphalt,ILS,1,1,advanced,1,major,1,1,1,1,1,1,1,open,none,safe,civil,1,321.6788,728,preferred,3.0,0,2,2.1916,5
S00020,EDDF,51.069717,8.981945,B767-300ER,wide_body,3072,mechanical,705,low,0.9,1125.0,705.0,1076.103602,emergency,EGLL,3901,50,asphalt,ILS,1,1,advanced,1,major,1,1,1,1,1,1,1,open,none,safe,civil,1,657.911947,829,preferred,4.0,0,5,1.0716,4
S00020,EDDF,51.069717,8.981945,B767-300ER,wide_body,3072,mechanical,705,low,0.9,1125.0,705.0,1076.103602,emergency,EGKK,3317,45,asphalt,ILS,1,1,advanced,1,major,1,1,1,1,1,1,1,open,none,safe,civil,1,639.663815,245,preferred,5.0,0,4,1.1021,7
S00020,EDDF,51.069717,8.981945,B767-300ER,wide_body,3072,mechanical,705,low,0.9,1125.0,705.0,1076.103602,emergency,LIRF,3902,60,asphalt,ILS,1,1,basic,1,major,1,1,1,1,1,1,1,open,none,safe,civil,1,1059.995029,830,extended,6.0,0,7,0.6651,3
S00020,EDDF,51.069717,8.981945,B767-300ER,wide_body,3072,mechanical,705,low,0.9,1125.0,705.0,1076.103602,emergency,ENGM,3600,45,asphalt,ILS,1,1,advanced,1,major,1,1,1,1,1,1,1,open,none,safe,civil,0,1023.104019,528,extended,7.0,0,6,0.6891,6
S00020,EDDF,51.069717,8.981945,B767-300ER,wide_body,3072,mechanical,705,low,0.9,1125.0,705.0,1076.103602,emergency,EIDW,3110,45,concrete,ILS,1,1,advanced,1,major,1,1,1,1,1,1,1,open,none,safe,civil,0,1068.116977,38,extended,8.0,0,8,0.66,8
S00021,HELX,25.872722,32.599388,A321,narrow_body,2420,operational_constraints,971,low,0.9,900.0,900.0,1615.606745,aircraft_fuel,HECA,4000,60,asphalt,ILS,1,1,basic,1,major,1,1,1,1,1,1,1,open,none,safe,civil,0,485.889987,1580,preferred,1.0,1,2,1.8523,3
S00021,HELX,25.872722,32.599388,A321,narrow_body,2420,operational_constraints,971,low,0.9,900.0,900.0,1615.606745,aircraft_fuel,HELX,3000,45,asphalt,RNAV,0,0,none,1,basic,1,0,1,0,0,1,1,open,none,safe,joint,0,24.867234,580,preferred,2.0,0,1,36.1922,7
S00021,HELX,25.872722,32.599388,A321,narrow_body,2420,operational_constraints,971,low,0.9,900.0,900.0,1615.606745,aircraft_fuel,OJAI,3660,61,asphalt,ILS,1,1,advanced,1,major,1,1,1,1,1,1,1,open,none,safe,civil,0,729.586247,1240,preferred,3.0,0,3,1.2336,6
S00021,HELX,25.872722,32.599388,A321,narrow_body,2420,operational_constraints,971,low,0.9,900.0,900.0,1615.606745,aircraft_fuel,OERK,4205,60,asphalt,ILS,1,1,advanced,1,major,1,1,1,1,1,1,1,open,none,safe,civil,0,1419.022287,1785,extended,4.0,0,5,0.6342,2
S00021,HELX,25.872722,32.599388,A321,narrow_body,2420,operational_constraints,971,low,0.9,900.0,900.0,1615.606745,aircraft_fuel,OKKK,4580,60,asphalt,ILS,1,1,advanced,1,major,1,1,1,1,1,1,1,open,none,safe,civil,0,1559.161195,2160,extended,5.0,0,6,0.5772,1
S00021,HELX,25.872722,32.599388,A321,narrow_body,2420,operational_constraints,971,low,0.9,900.0,900.0,1615.606745,aircraft_fuel,LGAV,4000,45,asphalt,ILS,1,1,advanced,1,major,1,1,1,1,1,1,1,open,none,safe,civil,0,1568.815473,1580,extended,6.0,0,7,0.5737,3
S00021,HELX,25.872722,32.599388,A321,narrow_body,2420,operational_constraints,971,low,0.9,900.0,900.0,1615.606745,aircraft_fuel,LTAC,3750,45,asphalt,ILS,1,1,advanced,1,major,1,1,1,1,1,1,1,open,none,safe,joint,0,1585.550274,1330,extended,7.0,0,8,0.5676,5
S00021,HELX,25.872722,32.599388,A321,narrow_body,2420,operational_constraints,971,low,0.9,900.0,900.0,1615.606745,aircraft_fuel,LCLK,2987,45,asphalt,ILS,1,0,none,1,basic,1,0,1,1,1,1,1,open,none,safe,civil,0,1005.821292,567,extended,8.0,0,4,0.8948,8
S00024,DNMM,6.457259,4.032494,E190,regional_jet,1925,weather,777,low,0.9,720.0,720.0,1008.510579,aircraft_fuel,DNMM,3900,60,asphalt,ILS,1,1,advanced,1,major,1,1,1,1,1,1,1,open,none,caution,civil,0,79.712391,1975,preferred,1.0,1,1,9.0325,1
S00024,DNMM,6.457259,4.032494,E190,regional_jet,1925,weather,777,low,0.9,720.0,720.0,1008.510579,aircraft_fuel,DGAA,3403,61,asphalt,RNAV,0,0,none,1,basic,1,0,1,1,1,1,0,open,none,safe,civil,0,473.915862,1478,preferred,2.0,0,3,1.5193,3
S00024,DNMM,6.457259,4.032494,E190,regional_jet,1925,weather,777,low,0.9,720.0,720.0,1008.510579,aircraft_fuel,DNAA,3609,60,asphalt,RNAV,0,0,none,1,basic,1,0,1,1,1,1,1,open,none,safe,joint,0,455.038886,1684,preferred,3.0,0,2,1.5823,2
S00024,DNMM,6.457259,4.032494,E190,regional_jet,1925,weather,777,low,0.9,720.0,720.0,1008.510579,aircraft_fuel,DNKN,3200,46,asphalt,RNAV,0,0,none,1,basic,1,0,1,0,0,1,1,open,none,safe,joint,0,793.252022,1275,extended,4.0,0,4,0.9077,4
S00025,RKSI,38.059707,126.623792,E190,regional_jet,1906,mechanical,778,normal,1.0,800.0,778.0,1205.000007,emergency,RKSI,4000,60,asphalt,ILS,1,1,advanced,1,major,1,1,1,1,1,1,1,open,none,safe,civil,1,67.406042,2094,preferred,1.0,1,1,11.542,1
S00025,RKSI,38.059707,126.623792,E190,regional_jet,1906,mechanical,778,normal,1.0,800.0,778.0,1205.000007,emergency,ZSPD,4000,60,concrete,ILS,1,1,advanced,1,major,1,1,1,1,1,1,1,open,none,safe,civil,1,886.207543,2094,extended,2.0,0,2,0.8779,1
S00025,RKSI,38.059707,126.623792,E190,regional_jet,1906,mechanical,778,normal,1.0,800.0,778.0,1205.000007,emergency,ZBAA,3810,60,asphalt,ILS,1,1,advanced,1,major,1,1,1,1,1,1,1,open,none,safe,civil,1,893.693888,1904,extended,3.0,0,3,0.8705,3
S00025,RKSI,38.059707,126.623792,E190,regional_jet,1906,mechanical,778,normal,1.0,800.0,778.0,1205.000007,emergency,RJTT,3360,61,asphalt,ILS,1,1,advanced,1,major,1,1,1,1,1,1,1,open,none,safe,civil,1,1203.569586,1454,extended,4.0,0,4,0.6464,4
S00026,LTFM,41.561709,28.389847,A319,narrow_body,2115,technical,793,normal,1.0,900.0,793.0,1268.62357,emergency,LTFM,4100,60,asphalt,ILS,1,1,advanced,1,major,1,1,1,1,1,1,0,open,none,safe,civil,0,42.800612,1985,preferred,1.0,1,1,18.5278,1
S00026,LTFM,41.561709,28.389847,A319,narrow_body,2115,technical,793,normal,1.0,900.0,793.0,1268.62357,emergency,LGAV,4000,45,asphalt,ILS,1,1,advanced,1,major,1,1,1,1,1,1,1,open,none,safe,civil,0,553.857207,1885,preferred,2.0,0,3,1.4318,2
S00026,LTFM,41.561709,28.389847,A319,narrow_body,2115,technical,793,normal,1.0,900.0,793.0,1268.62357,emergency,LTAC,3750,45,asphalt,ILS,1,1,advanced,1,major,1,1,1,1,1,1,1,open,none,safe,joint,0,418.825624,1635,preferred,3.0,0,2,1.8934,3
S00026,LTFM,41.561709,28.389847,A319,narrow_body,2115,technical,793,normal,1.0,900.0,793.0,1268.62357,emergency,LCLK,2987,45,asphalt,ILS,1,0,none,1,basic,1,0,1,1,1,1,1,open,none,safe,civil,0,872.492328,872,extended,4.0,0,4,0.9089,4
S00028,WSSS,1.512516,103.439351,E190,regional_jet,1839,security,1070,normal,1.0,800.0,800.0,1216.415278,aircraft_fuel,WSSS,4000,60,asphalt,ILS,1,1,advanced,1,major,1,1,1,1,1,1,1,open,none,safe,civil,1,64.242998,2161,preferred,1.0,1,1,12.4527,2
S00028,WSSS,1.512516,103.439351,E190,regional_jet,1839,security,1070,normal,1.0,800.0,800.0,1216.415278,aircraft_fuel,WMKK,4124,60,asphalt,ILS,1,1,advanced,1,major,1,1,1,1,1,1,1,open,none,safe,civil,0,236.059825,2285,preferred,2.0,0,2,3.389,1
S00028,WSSS,1.512516,103.439351,E190,regional_jet,1839,security,1070,normal,1.0,800.0,800.0,1216.415278,aircraft_fuel,WIMM,3000,60,asphalt,RNAV,1,1,basic,1,basic,1,0,1,1,0,1,1,open,none,safe,civil,0,558.510426,1161,preferred,3.0,0,3,1.4324,3
S00030,RKSI,36.876217,126.397711,E190,regional_jet,1848,operational_constraints,1184,low,0.9,720.0,720.0,1117.468142,aircraft_fuel,RKSI,4000,60,asphalt,ILS,1,1,advanced,1,major,1,1,1,1,1,1,1,open,none,safe,civil,1,66.094522,2152,preferred,1.0,1,1,10.8935,1
S00030,RKSI,36.876217,126.397711,E190,regional_jet,1848,operational_constraints,1184,low,0.9,720.0,720.0,1117.468142,aircraft_fuel,ZSPD,4000,60,concrete,ILS,1,1,advanced,1,major,1,1,1,1,1,1,1,open,none,safe,civil,1,764.969957,2152,extended,2.0,0,2,0.9412,1
S00030,RKSI,36.876217,126.397711,E190,regional_jet,1848,operational_constraints,1184,low,0.9,720.0,720.0,1117.468142,aircraft_fuel,ZBAA,3810,60,asphalt,ILS,1,1,advanced,1,major,1,1,1,1,1,1,1,open,none,safe,civil,1,923.784468,1962,extended,3.0,0,3,0.7794,3
S00031,RJAA,35.684512,140.631726,A220-300,narrow_body,2242,mechanical,625,normal,1.0,950.0,625.0,1059.482063,emergency,RJAA,4000,60,asphalt,ILS,1,1,advanced,1,major,1,1,1,0,1,1,1,open,none,safe,civil,1,23.845263,1758,preferred,1.0,1,1,26.2107,1
S00031,RJAA,35.684512,140.631726,A220-300,narrow_body,2242,mechanical,625,normal,1.0,950.0,625.0,1059.482063,emergency,RJTT,3360,61,asphalt,ILS,1,1,advanced,1,major,1,1,1,1,1,1,1,open,none,safe,civil,1,77.819082,1118,preferred,2.0,0,2,8.0314,2
S00031,RJAA,35.684512,140.631726,A220-300,narrow_body,2242,mechanical,625,normal,1.0,950.0,625.0,1059.482063,emergency,RJCC,3000,61,asphalt,RNAV,0,1,basic,1,basic,1,1,1,1,1,1,1,open,none,safe,joint,0,793.634743,758,extended,3.0,0,3,0.7875,3
S00034,WMKK,3.256183,101.658204,A321,narrow_body,2400,weather,1246,low,0.9,900.0,900.0,1552.53166,aircraft_fuel,WMKK,4124,60,asphalt,ILS,1,1,advanced,1,major,1,1,1,1,1,1,1,open,none,safe,civil,0,57.067028,1724,preferred,1.0,1,1,15.7709,1
S00034,WMKK,3.256183,101.658204,A321,narrow_body,2400,weather,1246,low,0.9,900.0,900.0,1552.53166,aircraft_fuel,WSSS,4000,60,asphalt,ILS,1,1,advanced,1,major,1,1,1,1,1,1,1,open,none,safe,civil,1,335.053928,1600,preferred,2.0,0,3,2.6861,2
S00034,WMKK,3.256183,101.658204,A321,narrow_body,2400,weather,1246,low,0.9,900.0,900.0,1552.53166,aircraft_fuel,WIMM,3000,60,asphalt,RNAV,1,1,basic,1,basic,1,0,1,1,0,1,1,open,none,safe,civil,0,310.750312,600,preferred,3.0,0,2,2.8962,4
S00034,WMKK,3.256183,101.658204,A321,narrow_body,2400,weather,1246,low,0.9,900.0,900.0,1552.53166,aircraft_fuel,VTBS,4000,60,asphalt,ILS,1,1,advanced,1,major,1,1,1,1,1,1,1,open,none,safe,civil,0,1163.509114,1600,extended,4.0,0,4,0.7735,2
S00035,OPKC,25.079841,66.930517,A320,narrow_body,2338,weather,1152,low,0.9,855.0,855.0,1525.542714,aircraft_fuel,OPKC,3400,46,concrete,RNAV,0,1,basic,1,basic,1,1,1,1,1,1,1,open,none,caution,civil,0,30.168368,1062,preferred,1.0,1,1,28.3409,6
S00035,OPKC,25.079841,66.930517,A320,narrow_body,2338,weather,1152,low,0.9,855.0,855.0,1525.542714,aircraft_fuel,OOMS,4080,45,asphalt,ILS,1,1,advanced,1,major,1,1,1,1,1,1,1,open,none,safe,civil,0,891.003715,1742,extended,2.0,0,2,0.9596,4
S00035,OPKC,25.079841,66.930517,A320,narrow_body,2338,weather,1152,low,0.9,855.0,855.0,1525.542714,aircraft_fuel,VIDP,4430,60,asphalt,ILS,1,1,advanced,1,major,1,1,1,1,1,1,1,open,none,safe,civil,1,1079.69753,2092,extended,3.0,0,5,0.7919,2
S00035,OPKC,25.079841,66.930517,A320,narrow_body,2338,weather,1152,low,0.9,855.0,855.0,1525.542714,aircraft_fuel,OMDB,4447,60,asphalt,ILS,1,1,advanced,1,major,1,1,1,1,1,1,1,open,none,safe,civil,1,1163.159733,2109,extended,4.0,0,6,0.7351,1
S00035,OPKC,25.079841,66.930517,A320,narrow_body,2338,weather,1152,low,0.9,855.0,855.0,1525.542714,aircraft_fuel,OMAA,4106,60,asphalt,ILS,1,1,advanced,1,major,1,1,1,1,1,1,1,open,none,safe,civil,0,1241.676385,1768,extended,5.0,0,7,0.6886,3
S00035,OPKC,25.079841,66.930517,A320,narrow_body,2338,weather,1152,low,0.9,855.0,855.0,1525.542714,aircraft_fuel,VABB,3509,60,asphalt,ILS,1,1,advanced,1,major,1,1,1,1,1,1,1,open,none,safe,civil,1,904.160041,1171,extended,6.0,0,3,0.9456,5
S00035,OPKC,25.079841,66.930517,A320,narrow_body,2338,weather,1152,low,0.9,855.0,855.0,1525.542714,aircraft_fuel,OPLA,3360,46,concrete,RNAV,0,0,none,1,basic,1,0,1,1,1,1,1,open,none,caution,civil,0,1023.30379,1022,extended,7.0,0,4,0.8355,7
